,Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
2317,BTC,7/17/2020,9270.707035,9386.259769,9604.105582,9223.946494
2318,BTC,7/18/2020,9178.894637,9287.207776,9350.247058,9073.588214
2319,BTC,7/19/2020,9626.456637,9178.895794,9746.171377,9148.652281
2320,BTC,7/20/2020,9682.377411,9601.403585,9857.447773,9528.151669
2321,BTC,7/21/2020,9796.344066,9682.3777,9873.616069,9654.132962
2322,BTC,7/22/2020,9928.778256,9796.343586,9940.671501,9661.309157
2323,BTC,7/23/2020,10133.7065,9901.684635,10176.90701,9889.154765
2324,BTC,7/24/2020,9839.900016,10133.70648,10198.19928,9753.195757
2325,BTC,7/25/2020,10237.63515,9852.644254,10352.45593,9712.360915
2326,BTC,7/26/2020,10365.92629,10237.79326,10490.77986,10219.52286
2327,BTC,7/27/2020,10219.09974,10365.23238,10517.91793,10098.76169
2328,BTC,7/28/2020,10368.528,10235.4677,10599.03016,10109.15916
2329,BTC,7/29/2020,9927.353691,10368.52748,10398.53648,9811.928072
2330,BTC,7/30/2020,9877.234963,9927.353455,10053.35462,9643.465032
2331,BTC,7/31/2020,9637.624095,9934.901933,9967.095384,9469.292698
2332,BTC,8/1/2020,10190.99598,9637.624345,10273.79482,9616.263421
2333,BTC,8/2/2020,9702.037191,10191.00776,10291.30426,9366.7803
2334,BTC,8/3/2020,9632.484946,9609.93197,9705.692625,9411.921416
2335,BTC,8/4/2020,9671.858654,9632.482559,9771.340692,9580.237409
2336,BTC,8/5/2020,9690.086743,9697.533064,9725.336392,9576.054489
2337,BTC,8/6/2020,9920.551448,9690.085992,10009.54047,9667.519497
2338,BTC,8/7/2020,9641.469505,9922.048562,10009.37849,9481.185942
2339,BTC,8/8/2020,9393.869629,9641.468562,9680.59509,9252.115834
2340,BTC,8/9/2020,8788.978363,9393.868579,9394.864137,8627.935746
2341,BTC,8/10/2020,8785.995352,8791.336853,8978.585565,8531.496379
2342,BTC,8/11/2020,8779.470511,8819.102269,8905.126218,8460.695261
2343,BTC,8/12/2020,8640.591417,8779.467316,8807.844965,8592.29254
2344,BTC,8/13/2020,8549.948322,8640.592081,8748.725718,8413.723329
